image,model,json_ok,have_headline,have_logo,num_head_boxes,num_logo_boxes,margin_ok_text,margin_ok_logo,ar_text,ar_logo,area_text,area_logo,iou_subject_text,iou_subject_logo,iou_text_logo,energy_text,energy_logo,negspace_compliance,prompt_len,composite_score,headline_suggestion,background_prompt
0.png,base,1,1,1,1,1,0,1,1.9,1.0,0.475,0.0225,0.1678,0.02,0.0,0.0667,0.1074,1.0,90,3.5977,,a person wearing black pants and a white sweater standing in front of a closet with shoes.
1.png,base,1,1,1,1,1,0,0,3.0,1.0,0.1875,0.25,0.1774,0.1731,0.0,0.0374,0.0505,1.0,118,3.0767,,"A baby's hand holding a squeeze bottle of toothpaste, with a cartoon character on the bottle, and a toothbrush nearby."
10.png,base,1,1,1,1,1,0,0,3.4,0.75,0.2125,0.12,0.0,0.0,0.177,0.0459,0.0477,1.0,131,3.5475,,"A person wearing purple waterproof snow boots on a sidewalk, with a colorful background and text highlighting the product features."
100.png,base,1,1,1,1,1,0,0,2.5,2.0,0.225,0.045,0.0,0.0189,0.0,0.045,0.0147,1.0,143,3.7473,,"a woman wearing a black and white sleeveless dress standing in a modern living room with a wooden floor, soft lighting, and minimalistic decor."
101.png,base,1,1,1,1,1,0,1,3.2,0.7,0.2,0.175,0.3254,0.2442,0.0,0.0385,0.0495,0.0,71,3.3371,,A woman sleeping on a blue neck pillow against a light blue background.
102.png,base,1,1,1,1,1,0,0,1.2,1.5,0.3,0.06,0.0909,0.0244,0.0,0.0711,0.028,1.0,87,3.1459,,"A young girl wearing a pink and white striped long-sleeved shirt, smiling and laughing."
103.png,base,1,1,1,1,1,0,0,2.4286,2.0,0.2975,0.045,0.4693,0.0189,0.0,0.0491,0.0314,0.0,122,3.4011,,A person wearing a pair of black straight-leg pants standing in a modern living room with a beige sofa and a wooden floor.
104.png,base,1,1,1,2,2,0,1,1.0,2.3333,0.2025,0.0525,0.0523,0.0342,0.0,0.0407,0.0123,1.0,80,3.5561,,"A man wearing light blue thermal underwear, standing against a plain background."
105.png,base,1,1,1,1,1,0,1,3.4,1.5,0.2125,0.015,0.355,0.0,0.0,0.1041,0.002,0.0,94,3.6586,,"A child sleeping on a pink blanket with a white pillow, soft lighting, eye-level camera angle."
106.png,base,1,1,1,1,1,0,0,1.3333,1.0,0.12,0.09,0.0323,0.0,0.4,0.0802,0.1065,1.0,98,3.2702,,A person wearing beige tights sitting on a white chair with a stack of folded tights next to them.
107.png,base,1,1,1,1,1,1,0,1.7143,1.0,0.21,0.2025,0.5099,0.1658,0.0,0.0729,0.0507,0.0,65,3.212,,A woman wearing a gray backpack against a white fence background.
108.png,base,1,1,1,1,1,1,1,2.0,1.3333,0.245,0.03,0.3828,0.0229,0.0185,0.054,0.065,0.0,54,3.9748,,a man wearing black pajama pants on a green background
109.png,base,1,1,1,1,1,0,0,2.0,3.3333,0.32,0.075,0.0,0.0545,0.0,0.0914,0.0435,1.0,94,2.7625,,"A woman wearing a cozy, high-neck knit sweater with a patterned skirt and a delicate necklace."
11.png,base,1,1,1,1,1,1,0,3.2,3.5,0.2,0.14,0.2857,0.1143,0.36,0.0434,0.0657,0.0,123,3.5517,,"a minimalist white background with two women wearing tank tops and jeans, one in pink and the other in black, both smiling."
110.png,base,1,1,1,1,1,0,1,1.625,3.0,0.26,0.12,0.3478,0.1429,0.0857,0.053,0.0363,0.0,58,3.0197,,a baby sitting in a car seat with a mountainous background
111.png,base,1,1,1,1,1,0,0,1.6667,1.8333,0.3375,0.165,0.274,0.2069,0.2803,0.136,0.1274,0.0,25,2.5394,,一个穿着时尚的女性站在服装店前，背景是货架和衣物。
112.png,base,1,1,1,1,1,0,0,3.0,1.0,0.1875,0.0225,0.2959,0.0,0.0,0.043,0.0349,0.0,64,3.3301,,A woman sleeping on a memory foam pillow with a blue background.
113.png,base,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0.0,,
114.png,base,1,1,1,2,1,1,0,3.2,1.0,0.2,0.25,0.2857,0.1364,0.0,0.0884,0.0235,0.0,81,3.5941,,"a man holding a seat cushion in front of a car, with a building in the background"
115.png,base,1,1,1,1,1,0,0,3.0,1.0,0.27,0.0225,0.3582,0.0038,0.0,0.0815,0.0814,0.0,18,3.1522,,简洁的白色背景，突出产品特点和品牌。
116.png,base,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0,0.0,,
